unorderedId	generalDescription
code	""
code-fairtracks-net	If you have suggestions on how to improve this website, submit an issue or pull request at https://github.com/fairtracks/fairtracks.net
code-trackfind	GitHub repository of the TrackFind web service and API
code-augmentation	GiHub repository of FAIRTrack augementation service app
code-validator	GitHub repository of FAIRTrack genomic tracks JSON Schema validation app
code-converter	GitHub repository of FAIRtracks JSON-to-GSuite converter
code-unifair	""
code-hyperbrowser	TrackFind API's script hosted at the Genomic HyperBrowser project GitHub
code-trackhub-registry-v1	GitHub repo of Track Hub Registry, with original FAIRtracks branch
code-trackhub-registry-v2	GitHub repo of reimplementation of Track Hub Registry (under development)
code-epico	FAIRTrack web page listing EPICO relevant GitHUB repositories
community	""
index	""
index-intro	""
index-end-users	""
index-data-providers	""
index-developers	""
index-fair-community	""
materials	""
services	""
services-fairtracks	""
services-core	""
services-trackfind	A web application / RESTful API enabling precision metadata queries across the Track Hub Registry and other portals.
services-augmentation	FAIRtracks augmentation is a RESTful API to generate augmented content for minimal FAIRtrack JSON documents automatically.
services-validator	FAIRtracks validator service is a RESTful API for checking query's consistency against FAIRtrack draft standards.
services-converter	FAIRtracks JSON-to-GSuite converter is a RESTful API to convert genomic metadata files following FAIRtracks JSON format to tabular GSuite format files.
services-connected	""
services-hyperbrowser	Web service based on Galaxy offering multiple relevant tools to handle, process and analyze genomic tracks.
services-trackhub-registry	Web search engine (with RESTful API) indexing genomic files in track hubs such as UCSC and Ensembl.
services-epico	Web-based tool for exploring gene and genomic regions' epigenomic information produced by the BLUEPRINT consortium.
standards	""
standards-fairtracks	Minimal metadata model enabling exchange across data portals, precision search and analysis.
standards-gtrack	A tabular file format systematically supporting all types of tracks. GTrack facilitates parsing and manipulation, allows for custom extensions, and provides efficient storage.
standards-gsuite	Tabular file collecting information on locations of track collections, preprocessing, analysis strategy, and reference genome.
More information is present in the GitHub repository.
standards-bioxsd	A unified data standard for biomolecular sequences, features, alignments, and references to facilitate programmatic data access.
tracks	""
tracks-genomic-tracks	Introduction to genomic tracks for genomic data representation with examples of possible genomic analysis.
tracks-genome-browsers	Overview of main online tools to display the contents of genomic tracks.
tracks-track-collections	Overview of the most common genomic track collections and associated cataloguing services.
tracks-finding-tracks	Presentation of tools and services to find relevant genomic tracks. Description of TrackFind.
tracks-analyzing-tracks	Overview of tools for independent and integrative analysis of genomic tracks.
tracks-track-types	Overview of the mathematical models used for categorization and analysis of different types of tracks.
tracks-file-formats	Characterization of main file track formats and standards for specific genomic data usage and analysis.
fair-fair-data-fairtracks
fair-metadata-models	Presentation of the various metadata models currently in use in the community.
fair-identifiers	Presentation of globally unique identifier solutions to identify track files and register their creation context.
fair-ontologies	Characterization of ontologies and their roles in identifying biological terms to improve FAIR interoperability.
fair-validation-augmentation	Overview of FAIR validation tools and services for genomic data and metadata.
